case_name,seed,face_x_idx,face_x_coord,borehole_name,Q_face_mean,Qp_face_mean,Q_bh_mean,Q_bh_median,Qp_bh_mean,Qp_bh_median,RQD_bh_mean,Jn_bh_mean,RQD_borehole_direct_mean,RQD_borehole_direct_median,RQD_borehole_hudson_mean,RQD_borehole_hudson_median,lambda_borehole_mean,borehole_n_intersections_sum,RQD_face_scanline,RQD_face_jv,RQD_face_conservative,lambda_face_scanline,face_scanline_n_intersections,Jv_face,Jv_method,Jr_bh_mean,Ja_bh_mean,Jw_bh_mean,SRF_bh_mean,Q_ratio_bh_to_face,Qp_ratio_bh_to_face,face_fracture_count,bh_fracture_count,common_fracture_count,missed_fracture_count,miss_ratio,detection_ratio,bh_window_length,bh_fracture_frequency,face_fracture_density,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,orientation_bias_bh,face_orientation_bias,orientation_bias_gap_to_face,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose
scenario_03_sparse_large,40,10,10.5,Center,30.125538016090076,33.3405242320754,12.664448741131633,11.653469230373958,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.8190682357572294,1.1443117334358373,0.4203891307888855,0.49989215978291124,1,0,0,1,1.0,0.0,7.0,0.0,0.012732395447351627,0.0,0.0,0.012732395447351627,0.0,0.32303570434237505,0.32303570434237505,0,0,0,0,0,0
scenario_03_sparse_large,40,20,20.5,Center,13.23158950130426,16.66666666666666,13.604847972119325,12.164569840307047,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.7437915959255893,0.969117620128164,1.0282096471310778,1.0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
scenario_03_sparse_large,40,30,30.5,Center,14.606573793853773,16.66666666666666,19.68727231704963,19.3261651829489,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.8622720667942148,0.8314782712972022,1.347836432752884,1.0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1
scenario_03_sparse_large,41,10,10.5,Center,14.416198258762442,16.66666666666666,14.698751151819101,13.307984774197529,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.8055916184226878,0.9860304434894659,1.01959968141288,1.0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
scenario_03_sparse_large,41,20,20.5,Center,10.729481641816587,12.907399981206952,15.18220200261759,15.526026422389469,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.8095182796292922,0.9271311344271851,1.4149986466678106,1.291248949512153,1,0,0,1,1.0,0.0,7.0,0.0,0.012732395447351627,0.0,0.0,0.012732395447351627,0.0,0.9233089800511894,0.9233089800511894,0,1,1,0,1,1
scenario_03_sparse_large,41,30,30.5,Center,15.344839215563736,16.66666666666666,10.731236742092458,10.882579952426847,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.7718460786688566,1.220577777324236,0.6993384936355761,1.0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1
scenario_03_sparse_large,42,10,10.5,Center,14.879363536087354,16.66666666666666,13.579546174978537,14.62550941978008,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.8150001345730925,1.1321174642336316,0.9126429461880993,1.0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
scenario_03_sparse_large,42,20,20.5,Center,15.75389359515431,16.66666666666666,13.296582955629358,13.831991141713374,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.7644015684490808,0.9881928594745883,0.8440188373316938,1.0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
scenario_03_sparse_large,42,30,30.5,Center,15.213930556263227,16.66666666666666,11.379705359039528,10.793312323022697,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.7768853968134881,1.2377868911251515,0.7479793152042991,1.0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1
scenario_03_sparse_large,43,10,10.5,Center,14.670487631941667,16.66666666666666,14.57297438602984,13.968937809915534,16.66666666666666,16.666666666666664,100.0,2.0,100.0,100.0,100.0,100.0,0.0,0,100.0,100.0,100.0,0.0,0,0.05,P32_derived_Jv_proxy,1.0,3.0,0.7595460118482924,0.9278134162271445,0.993353101249374,1.0,0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
